Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
AFRICAN LANGUAGES & LITERATURE,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
ARABIC STUDIES,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
ARCHAEOLOGY,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
BANKING & FINANCE,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
BIOCHEMISTRY,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
BOTANY,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
BUSINESS EDUCATION,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
CHEMISTRY,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CHRISTIAN RELIGIOUS STUDIES,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
COMPUTER ENGINEERING,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
COMPUTER SCIENCE,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
ECONOMICS,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & BIOLOGY,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
EDUCATION & CHEMISTRY,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
EDUCATION & COMPUTER SCIENCE,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
EDUCATION & ECONOMICS,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
EDUCATION & ENGLISH LANGUAGE,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
EDUCATION & GEOGRAPHY,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
EDUCATION & HISTORY,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
EDUCATION & INTEGRATED SCIENCE,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
EDUCATION & MATHEMATICS,"FEDERAL UNIVERSITY, LOKOJA, KOGI STATE",FED-LOKOJA,[Not Available],[Not Available],[Not Available]
