Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography

(ii) ND/HND in Relevant discipline

(iii) Bachelor degree in relevant discipline","Five (5) O' level credits to include English Language, Mathematics, Economics and any other 2 subjects. For NBC holders, the other 2 relevant subjects could be from any of Principles of Accounts, Commerce, office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
ADULT EDUCATION,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)   Two (2) 'A' Level  passes.
(ii)  NCE merit in two (2) subjects 
(iii) ND/HND in Relevant discipline","Five (5) 'O' Level credit passes including English Language, Mathematics and three (3) of Literature in English, History, French, Yoruba, Igbo, Hausa, Christian Religious Studies, Islamic Studies, Geography/Physic, Economics and Government

or TC II with pass in English Language and four (4) other subjects.","Any three (3) subjects from CRK, Economics, Literature in English, Government/History."
AGRICULTURAL & BIORESOURCES ENGINEERING,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes from Chemistry, Physics and Mathematics.
(ii) NCE, ND/HND in Relevant discipline","5 O’ level credits to include English Language, Mathematics, Biology or Agric Science, Physics, Chemistry.","Mathematics, Chemistry and Physics."
AGRICULTURAL SCIENCE & EDUCATION,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Agricultural Education/Science or Biology
(ii)  NCE credit or merit in two(2)including Agricultural
(iii) ND/HND in Relevant discipline Education/Science or Biology
(iv) ND/HND in Relevant discipline","Five (5) 'O' Level credit passes to include English Language, Chemistry, Biology/Agricultural Science, Mathematics and one (1) other subject.",Chemistry and any other two (2) subject.
AGRICULTURE,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"Two (2) ‘A’ Level passes in Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five(5) O' level credit passes to include English Language, Mathematics Chemistry and Biology/Agricultural Science. Pass in Mathematics may be considered if the candidate has a credit in Physics or vice versa. The 5 credits must be obtained in not more than 2 sittings. A credit pass in Agricultural Science must be backed up with at least a pass in Biology.","Chemistry, Biology/Agriculture and any one of Physics or Mathematics."
ANATOMY,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and Physics."
APPLIED BIOCHEMISTRY,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes in Chemistry and Biology or Health Science

(ii)  NCE merit in Biology and Chemistry. 

(iii) ND/HND in Relevant discipline","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, and any other two (2) science subjects.","Chemistry, Biology and Physics or Mathematics."
APPLIED MICROBIOLOGY & BREWING,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)  Two (2) 'A' Level credit passes in Biology and Chemistry / Physics / Mathematics

(ii)  NCE merit in Biology and Chemistry. 

(iii) ND/HND in Relevant discipline.","Five (5) SSC credit passes to include English Language, Mathematics, chemistry, Physics and Biology.","Biology, Chemistry and Physics"
ARCHITECTURE,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)   Two (2) 'A' Level passes chosen from Mathematics or Physics and Chemistry, Geography or Fine Arts.

(ii)   ND/HND upper credits in relevant field.","5 O’ level credits to include English Language, Mathematics, Physics and any 2 of Chemistry, Geography, Economics, Biology, Fine Arts, Technical Drawing.","Physics, Mathematics, and any of Chemistry, Geography, Fine Arts, Biology or Economics."
AUTO & MECHANICAL TECHNOLOGY EDUCATION,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)Two (2) 'A' Level passes in relevant technical areas.
(II) NCE /TTC IN TECHNICAL Education with two (2)merits
(iii) HND/ ND UPPER CREDIT IN RELEVANT TECHNICAL AREAS","Five (5) 'O' Level credit passes in English Language Mathematics and one (1) of Biology /Agricultural Science; Physics, or Chemistry and two (2) from General Science/IntegratedScience, Technical Drawing/Fine Art, Geography, Health Science Food and Nutrition, Physical and Health Education, Auto Technical, Building, Electrical Electronic, Metal Work and Wood Work.","Physics, Chemistry, Biology/ Mathematics"
BANKING & FINANCE,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes chosen from Accounting, Economics, Management, Mathematics, Geography and Statistics

(ii) ND/HND in Relevant discipline

(iii) Bachelor degree in relevant discipline","5 O’ level credits to include English Language, Mathematics, Economics and any other 2 subjects.","Mathematics, Economics, plus any other Arts or Social Science subject."
BIOLOGICAL SCIENCE(S),"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)    Two (2) 'A' Level passes to include one (1) of Botany, Zoology, Biology or Chemistry.

 

(ii)    ND/NCE in related programme/subject.","Five (5) SSC credit passes to include English Language, Mathematics, Chemistry, Biology and any other Science subject.","Biology, Chemistry and Physics or Mathematics."
BOTANY,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics

(ii)   NCE merit in Biology and Chemistry. 

(iii) ND/HND in Relevant discipline","Five (5) SSC Credit passes in English Language, Biology, and any other three (3) science subjects with at least a Pass in Mathematics.","Biology, Chemistry and Physics."
BUILDING,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes from Chemistry, Physics and Mathematics. 
(ii) NCE, ND/HND in Relevant discipline","5 O’ level credits to include English Language, Mathematics, Physics and any other 2 subjects from Chemistry, Geography, Economics, Biology, Fine Arts, Technical Drawing, Building Construction, Land Surveying and Agric. Science.","Mathematics, Physics and Chemistry"
BUILDING & WOODWORK TECHNOLOGY EDUCATION,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(I) 'A' Level Passes in Mathematics and Physics

(II) NCE, ND/HND in relevant discipline.","Five (5) O'level credit passes to include English Language, Mathematics and any one (1) from Woodwork, Metalwork, Technical Drawing, Further Mathematics etc and two (2) other subjects.","Physics, Chemistry, Biology/Mathematics"
BUSINESS ADMINISTRATION,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) ‘A’ Level passes chosen from Economics, Accounts, Business Management, Government, Geography or Statistics

(ii) ND/HND in Relevant discipline

(iii) Bachelor degree in relevant discipline","5 O’ level credits to include English Language, Mathematics, Economics and any other 2 subjects.","Economics and any other 2 Subjects from Commerce, Government, Mathematics or Business studies."
BUSINESS EDUCATION,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes or NCE merit in Two (2) relevant subjects.

(ii) NCE Merit in Business Education Double Major.

(III) ND/HND in Relevant Discipline.","Five (5)  'O' Level credit passes including English Language, Mathematics, any one of the following: Principles of Accounts, Economics, Commerce, Office Practice, Secretarial Duties, Typewriting and Shorthand, Business Method and any two (2) other subjects.

the above subject requirements are also applicable for TC II merit, or NTC/NBC.","Mathematics,  Economics, and any other subject."
CHEMICAL ENGINEERING,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes from Chemistry, Physics and      Mathematics. 
(ii) NCE, ND/HND in Relevant discipline","5 O’ level credits to include English Language, Mathematics, Physics, Chemistry and any other one subject.","Mathematics, Physics and Chemistry."
CHEMISTRY,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CHINESE STUDIES,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,(i) Two (2) ‘A’ Level passes or NCE in any subjects plus a pass in HSK 3,Credit passes in English Language and four (4) other subjects.,Any three (3) subjects.
CIVIL ENGINEERING,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) 'A' Level passes in Physics and Mathematics.
(ii) ND/HND upper credit at appropriate levels.","5 O’ level credits to include English Language, Mathematics, Physics, Chemistry and any other one subject.","Physics, Chemistry and Mathematics"
CIVIL LAW,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2)'A' Level passes in Arts or Social Science subjects.

(ii) NCE/ND/HND/First Degree","5 O’ level credits to include English Language, Literature in English and Mathematics or some other Science subject namely Biology, Chemistry or Agricultural Science.",Any three (3) Arts or Social Science subjects.
COMPUTER SCIENCE,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes in science subjects including Mathematics 

(ii)  NCE merit in Mathematics and one (1) other Science or Social Science subject

(iii) ND/HND in Relevant discipline

(iv) Bachelor degree in relevant discipline","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects including Economics and Geography","Mathematics, Physics and one other science subject including Economics and Geography."
COOPERATIVE ECONOMICS & MANAGEMENT,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) ‘A’ Level passes chosen from Mathematics, Economics and Business Management

(ii) ND/HND in Relevant discipline

(iii) Bachelor degree in relevant discipline","Five (5) O' level credit passes including English Language, Mathematics, Economics plus any other two (2) subjects. For NBC Holders, the other subjects could be from the following: Principles of Accounts, Commerce, and Accounts.","Mathematics, Economics plus one (1) other subject."
CYBER SECURITY,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,[Not Available],[Not Available],[Not Available]
DOCTOR OF PHARMACY,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Three (3) 'A' Level passes in Chemistry, Biology/Zoology and Physics or Mathematics

(ii) Bachelor degree in relevant discipline","5 O' Level credit passes in English Language,  Mathematics, Physics, Chemistry and Biology in 1 or 2 sittings","Physics, Chemistry and Biology"
EARLY CHILDHOOD & PRIMARY EDUCATION,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)   Two (2) 'A' Level passes chosen from relevant subjects or NCE in            two (2) subjects
(ii)    ND/HND in Relevant discipline",Five (5) 'O' Level credit passes including English Language and Mathematics and any other three (3) subjects.,Any three (3) subjects.
ECONOMICS,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government
(ii) NCE credit in relevant subjects
(iii) ND/HND in Relevant discipline
(iv) Bachelor degree in relevant discipline","Five (5)SSC credit passes in English Language, Mathematics, Economics and any other two (2)  subjects.","Mathematics, Economics and any One of Government, History, Geography, Literature in English, French and CRK"
EDUCATION & COMPUTER SCIENCE,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)  'A' Level passes in Mathematics and Physics. 

(ii) NCE, ND/HND in Relevant discipline","5 O’ level credits to include English Language, Mathematics, Physics, Chemistry and any other one subject","Mathematics, Physics and Chemistry."
EDUCATION FOUNDATIONS (ENGLISH LANGUAGE),"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including              Literature in English.
(ii)  NCE credit or merit in two(2)relevant subjects.
(iii) ND/HND in Relevant discipline.","Five (5) 'O' Level credit passes to include English Language, Mathematics and any other three (3) subjects.",Any three (3) subjects.
EDUCATIONAL FOUNDATIONS (ECONOMICS),"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.

(iii)   ND/HND in Relevant discipline.","Five (5) 'O' Level credit passes to include English Language,  Mathematics and three (3) other subjects.",Economics and any two (2) other subjects.
EDUCATIONAL FOUNDATIONS (FRENCH):,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)Two A' Level passes in any relevant subject
(ii) NCE Credit/Merit in  any 2 other relevant subject
(iii) ND/HND in Relevant Discipline","Five (5) O' level credit passes to include English Language, Mathematics and any other three (3) subjects.",French plus two (2) other subjects.
EDUCATIONAL FOUNDATIONS (History),"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)Two (2) 'A' Level passes to include the subjects. 
(ii) NCE merit in relevant subjects.
(iii) ND/HND in Relevant discipline.","Five (5) SSC credit passes in English Language, the subject of study and three (3) relevant subjects.",The subject of study and two (2) other relevant subjects.
EDUCATIONAL FOUNDATIONS (IGBO),"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two A' Level passes in any relevant subject
(ii) (2) NCE Credit/Merit in  any 2 other relevant subject
(iii) ND/HND in Relevant Discipline","Five (5) SSC credit passes including English Language, Mathematics and any other three (3) subjects.",Igbo and any other two (2) subjects.
EDUCATIONAL FOUNDATIONS (POLITICAL SCIENCE),"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes in relevant subjects chosen from Government or History, Economics and Geography/Physics.

(ii) NCE merit in Government/History, Economics and Geography/Physics.

(iii)   ND/HND in relevant discipline.","Five (5) 'O' Level credit passes or equivalent to include English Language, Mathematics and three (3) other subjects.",Government or History plus two (2) other subjects.
EDUCATIONAL FOUNDATIONS (RELIGION),"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)  Two (2) 'A' Level passes
(ii) NCE merit in Religious Studies and one (1) other Arts subject
(iii) ND/HND in Relevant discipline.","Five (5) 'O' Level credit passes in English Language, Mathematics and three (3) other subjects




or TC II merit in five (5) subjects including English Language, Religious Studies and three (3) other Arts subjects.",Any 3 subjects: the subject of study and 2 other relevant subjects.
EDUCATIONAL MANAGEMENT AND POLICY,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2)'A' Level passes in relevant subjects
(ii)  NCE merit in 2 relevant subjects
(iii) ND/HND in Relevant Discipline","(i) Five (5)'O' Level credit passes to include English Language, Mathematics and any other three (3) subjects.

(ii)  Five (5) TC II merit including English Language and Mathematics.","Any three (3) of Literature In English, History, French, Geography/Physics, Economics and CRS."
ELECTRICAL ENGINEERING,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)  'A' Level passes in Mathematics and Physics. 

(ii) NCE, ND/HND in Relevant discipline","5 O’ level credits to include English Language, Mathematics, Physics, Chemistry and any other one subject.","Mathematics, Physics and Chemistry."
ELECTRICAL/ELECTRONICS EDUCATION,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(I) 'A' Level passes in Mathematics and Physics.

(II) NCE , ND/HND in relevant discipline.","Five (5) O'level credit passes to include English Language, Mathematics and any one (1) from Woodwork, Metalwork, Technical Drawing, Further Mathematics etc and two (2) other subjects.","Physics, Chemistry, Biology/Mathematics"
ENGLISH LANGUAGE & LITERATURE,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"5 O’ level credits to include English Language, Literature in English and any other 3 subjects.","Literature in English, And 2 Other Arts Subjects (CRS, Government/Civic Education, Or History). Alternatively, Literature in English, One Other Arts Subject (As Above) And One Social Science (Commerce or Economics) Subject."
ENTREPRENEURSHIP,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes to include Economics and at least one of, Accounts, Business     Management, Government, Geography or Mathematics

(ii) ND/HND in Relevant discipline.

(iii) Bacherlor degree in relevant discipline.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, and any other two (2) subjects.",Economics or Commerce and any other 2 subjects
ENVIRONMENTAL HEALTH SCIENCE,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes chosen from Physics, Chemistry and Biology

(ii) ND/HND in Relevant discipline

(iii) Bachelor degree in relevant discipline","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
ENVIRONMENTAL MANAGEMENT,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) 'A' Level passes in Mathematics or Geography and one of Economics, Physics      and Chemistry.

(ii) NCE, ND/HND in Relevant discipline.","5 O’ level credits to include English Language, Mathematics, Chemistry and any other 2 subjects from Physics, Geography, Biology, Health Science, Soil Science, Economics, and Agric. Science.","Mathematics, Chemistry and any one of Economics, Physics, Biology, Geography or Agricultural Sciences."
ESTATE MANAGEMENT,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i) Two (2) ‘A’ Level passes in Mathematics, Economics, Geography, Biology and Physics. (ii) NCE, ND/HND in Relevant discipline","5 O’ level credits to include English Language, Mathematics, Economics and any other 2 subjects from Physics, Chemistry, Geography, Economics, Biology, Fine Arts, Technical Drawing, Building Construction, Land Surveying, Book- Keeping or Financial Accounting and Agric. Science.","Mathematics, Economics and one other subject"
FINE/APPLIED ARTS,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,"(i)    Two (2) 'A' Level passes in Fine Arts/Technical Drawing and any one of Mathematics, Economics, Geography, Biology, Physics and Chemistry.

(ii)   ND/HND credit in Fine Arts.","5 O’ level credits to include English Language, Fine Arts/ Visual Arts and any other 3 subjects (Fine Arts or Visual Arts is optional)","Any 3 Subjects from Sciences, Arts and Social Sciences"
FISHERIES AND AQUACULTURE,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,[Not Available],[Not Available],[Not Available]
FISHERIES AND AQUACULTURE:,"NNAMDI AZIKIWE UNIVERSITY, AWKA, ANAMBRA STATE",UNIZIK,Two (2) ‘A’ Level passes in Chemistry and Biology/Physics/Agric Science/Botany/Zoology.,"5 O' level Credit passes including English Language, Mathematics, Chemistry Physics, Biology or Agriculture Science in not more than two sittings","Physics/Mathematics, Biology,  Chemistry"
