Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
EDUCATION & ENGLISH LANGUAGE,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION & GEOGRAPHY,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"Two (2) 'A' Level passes/NCE merit which should include Geography

/Physics.","Five (5) SSC credit passes to include Geography, English Language and Mathematics.",Geography plus two (2) other Social Sciences/Arts subjects.
EDUCATION & HAUSA,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2) 'A' Level passes in relevant subjects to include Hausa.,Five (5) 'O' Level credit passes to include English Language and Hausa.,"Hausa, one (1) Arts and one (1) subject from Economics, French, Geography/Physics, Government, History, Islamic Studies, Literature in English and Mathematics."
EDUCATION & HISTORY,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2) NCE merit/'A' Level passes in History and one (1) other relevant Arts subject.,"Five (5) SSC credit passes in English Language, History and three (3) relevant Arts subjects.","History and any other two (2) subjects chosen from Christian Religious Studies / Islamic Studies, Literature in English, French, Yoruba, Geography/Physics, Economics, Government and Hausa."
EDUCATION & INTEGRATED SCIENCE,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"(i) NCE Integrated         Science

 

(ii)   NCE Science

       Education

 

(iii)  'A' Level         passes in two (2)Science subjects","Five (5) SSC credit passes including Biology, Chemistry, English Language and Mathematics","Any three (3) of Mathematics, Chemistry, Physics, Biology and Agricultural Science."
EDUCATION & MATHEMATICS,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2)'A' Level passes/NCE in Mathematics and one (1) Science subject.,"Five (5) SSC credit passes to include English Language, Mathematics plus one (1) other Science subject.","Mathematics and any two (2) of the following Science subjects: Physics, Chemistry and Biology."
EDUCATION & PHYSICS,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"(i)  Two (2) 'A' Level passes in Physics and Mathematics.

(ii) NCE credit/merit in relevant subjects.","Five (5) 'O' Level credits passes to include English Language, Physics, Mathematics and two (2) other Science subjects or NTC/NBC.","Physics, Mathematics or Chemistry plus one (1) other subjects."
EDUCATION & POLITICAL SCIENCE,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"(i) Two (2) 'A' Level passes in relevant subjects chosen from Government or History, Economics and Geography/Physics.

(ii) NCE merit in Government/History, Economics and Geography/Physics.","Five (5) 'O' Level credit passes or equivalent to include English Language, Government/History and three (3) other subjects.",Government or History plus two (2) other Arts or Social Sciences subjects.
EDUCATIONAL ADMINISTRATION & PLANNING,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"(i) Two (2)'A' Level passes from Literature in English, History, Christian Religious Studies/Islamic Studies, Hausa, Yoruba and Igbo with 'O' Level pass in Mathematics.

(ii)  NCE merit in the subjects listed above.","(i) Five (5)'O' Level credit passes to include English Language, Mathematics and Economics.

(ii)  Five (5) TC II merit including English Language and Mathematics.","Any three (3) of Literature In English, History, French, Geography/Physics, Economics and Mathematics."
ENGLISH LANGUAGE,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
ENTREPRENEURIAL STUDIES,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"Two (2) 'A' Level passes to include Economics and at least one of, Accounts, Business Management, Government, Geography or Mathematics.","Five (5) SSC credit passes to include English Language, Mathematics, Economics, one Science subject and one other Social Science or Commercial subject.","Economics, Mathematics and one other Social Science or Commercial subject."
GEOGRAPHY,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,No Direct Entry,"Five (5) SSC credit passes to include English Language, Geography and any other three (3) subjects from Arts/Social Sciences with at least 'O' Level  pass in Mathematics.",Geography and any two (2) other Arts or Social Science subjects.
GUIDANCE & COUNSELLING,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,'A' Level passes or NCE in two (2) subjects plus the UTME requirements.,Five (5) 'O' Level NTC/NBC credit passes or TC II merit including English Language with 'O' Level pass in Mathematics.,Any three (3) subjects.
HAUSA,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2) A’ Level passes in Hausa and any other relevant subjects.,Five (5) SSC credit passes to include English Language and Hausa.,"Hausa, Literature in English and any of Economics, Government, History and Arabic."
HISTORY & DIPLOMATIC STUDIES,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2) 'A' Level passes/NCE (upper credit) in History/ Government and any other related subject.,"Five (5) SSC credit passes to include English Language, Geography, Government/History.",History/Government and any other two (2) subjects from the Arts and Social Sciences.
INTERNATIONAL RELATIONS,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"Two (2) 'A' Level passes in Social Science subject from Government/History, Economics, Sociology and Business Management.","Five (5) SSC credit passes to include English Language, Government or History and three (3) relevant subjects.","Economics, Literature in English and Geography/Government/History."
ISLAMIC STUDIES,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2) ‘A’ level passes to include Islamic Studies.,Five (5) SSC credit passes to include English Language and Islamic Studies or Arabic and any three (3) relevant subjects.,Islamic Studies plus two (2) other Arts subjects.
LIBRARY & INFORMATION SCIENCE,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"(i) Two (2) 'A' Level passes in relevant subjects.

(ii) NCE/ND in relevant subject/programmes.",Five (5) SSC credit passes including English Language and Mathematics.,Any three (3) Arts or Social Science subjects
MARKETING,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"Two (2) ‘A’ Level passes chosen from Accounting, Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics and any three (3) relevant subjects","Mathematics, Economics plus one (1) other subject."
MASS COMMUNICATION,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2) 'A' Level passes in relevant subjects.,Five (5) SSC credit passes to include English Language.,Any three (3) Arts and Social Science subjects.
MATHEMATICS,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,") Two (2) 'A' Level passes in Mathematics and any other science subject.

(ii)           NCE merit in Mathematics and one (1) of Physics, Chemistry or Economics","Five (5) SSC credit passes including English Language, Mathematics and Physics or Chemistry.","Mathematics and any two (2) of Physics, Chemistry and Economics or Geography."
MICROBIOLOGY,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"Two (2) 'A' Level passes in Chemistry and any one (1) from Biology, Zoology or Botany.","Five (5) SSC credit passes in English Language, Mathematics, Chemistry, Biology and Physics.","Biology, Chemistry and either Physics or Mathematics."
PHYSICS,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
PLANT SCIENCE,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
POLITICAL SCIENCE,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2) A' Level passes to include Government or History.,"Five (5) SSC credit passes to include English Language, Government/History and any other three (3) subjects from Arts/Social Sciences with at least 'O' Level pass in Mathematics.",Government/History and two (2) other Social Sciences or Arts subjects.
PROCUREMENT MANAGEMENT,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government and Geography.","Five (5) SSC credit passes including English Language, Mathematics, Economics and any other two (2) other subjects.

For NBC holders, the other two (2) relevant subjects could be from any of Principles of Accounts, Commerce, Office Practice and Secretarial Duties.","Mathematics, Economics plus any Social Science subject."
PSYCHOLOGY,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,Two (2) 'A' Level passes including Government or History.,"Five (5) SSC credit passes in Government or History, English Language and three (3) other subjects.  A pass in Mathematics is required.",Any three (3) subjects from Arts or Social Science
PUBLIC ADMINISTRATION,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"Two (2) ‘A’ Level passes chosen from Economics, Accounting, Business Management, Government, Geography and Statistics.","Five (5) SSC credit passes to include English Language,              

Economics and Government. For NBC holders, the                             other relevant                             subjects could be                             from any of the                             following:  Accounting, Principles of Accounts,                             Commerce, Office           Practice and Secretarial   Duties.","Government, Economics and any other subject."
SOCIOLOGY,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,-,"Five (5) SSC credit passes to include English Language, Mathematics, History/Government/Economics one Science subject and any Arts or Social Science subject",Government/ History plus two (2) other Social Sciences/Arts subject
STATISTICS,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"Two (2) 'A' Level passes to include Mathematics or Statistics.

NCE credit in relevant subjects.","Five (5) SSC credit passes to include English Language, Mathematics and at least three (3) subjects from Physics, Statistics, Chemistry, Further Mathematics, Economics and Geography.","Mathematics and any two (2) of Physics, Chemistry and Economics."
TEACHER EDUCATION SCIENCE:,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
ZOOLOGY,"FEDERAL UNIVERSITY, KASHERE, GOMBE STATE",FED-KASHERE,"Two (2) 'A' Level passes or NCE in Biology, Zoology or Botany and one other Science subject","Five (5) SSC credit passes in English Language, Mathematics, Biology and two (2) other Science subject.","Biology and any two (2) of Physics, Chemistry and Mathematics."
