Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ARABIC STUDIES,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,Two (2) ‘A’ Level passes in Arabic and any other Arts subject.,"Five (5) SSC credit passes in English Language, Arabic and three (3) other relevant subjects.",Arabic and two (2) subjects from Arts and/or Social Sciences.
BIOCHEMISTRY & MOLECULAR BIOLOGY,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology."
BIOLOGY,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
CHEMISTRY,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
EARLY CHILDHOOD EDUCATION,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,Two (2) 'A' Level passes chosen from relevant subjects.,Five (5) 'O' Level credit passes including English Language.,Any three (3) subjects.
ECONOMICS,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & ARABIC,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,Two (2) 'A' Level passes or NCE in relevant subjects including Arabic.,Five (5) 'O' Level credit passes in relevant subjects including English Language and Arabic.,Arabic and any two (2) relevant Arts/Social Science subjects.
EDUCATION & BIOLOGY,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,NCE/'A' Level passes in Biology and one (1) other Science subject.,"Five (5) SSC credit passes in English Language, Biology, Chemistry, Mathematics and one (1) other subject.","Biology and two (2) other subjects from Chemistry, Mathematics and Physics."
EDUCATION & CHEMISTRY,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,Two (2) ‘A’ Level/NCE passes including Chemistry and one (1) other Science subject.,"Five (5) SSC credits in Mathematics, Chemistry, English Language and two (2) of Physics, Biology and Agricultural Science.","Chemistry and two (2) other subjects chosen from Physics, Biology and Mathematics."
EDUCATION & ECONOMICS,"ZAMFARA STATE UNIVERSITY, TALATA MAFARA, ZAMFARA STATE",ZAMFARA,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
