Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
ACTUARIAL SCIENCE,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BANKING & FINANCE,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"(i) Two (2)'A' Level passes in Accounting or Economics and one other subject.

(ii) NCE merit in relevant subjects.

(iii) ND credit.

(iv) Foundation International exam such as ICAN, ACCA, ICMA, GPFA.","Five (5)SSC credit passes including

English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, one Social Science subject and any other subject"
BIOCHEMISTRY,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BIOTECHNOLOGY,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,Two (2) 'A' Level passes in Biology/Botany/Zoology and Chemistry or Physics.,"Five (5) SSC Credit passes in English Language, Mathematics, Biology, Chemistry and Physics.","Biology, Chemistry and any other Science subject."
BUSINESS ADMINISTRATION,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,Two (2)'A' Level passes including Economics.,"Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.","Mathematics, Economics and any other Social Science subject"
BUSINESS EDUCATION,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"(i)    Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii)           NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
CHEMISTRY,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
COMPUTER SCIENCE,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics and Geography."
CRIMINOLOGY & PENOLOGY,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
CROP PRODUCTION,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,Two (2) ‘A’ Level passes in Chemistry and Biology/Agricultural Science/Botany/Zoology or Physics/Mathematics/Economics.,"Five (5) SSC credit passes to include Chemistry, Biology/Agricultural Science, Mathematics and one Science/Social Science subject and at least 'O' Level pass in Physics.","Chemistry, Biology/Agriculture and Mathematics or Physics"
ECONOMICS,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"Two (2)'A' Level passes in Economics and any one of Mathematics, Statistics, Geography, Physics, Chemistry, Agricultural Science, Accounting, Business Management, History and Government.","Five (5)SSC credit passes in English Language, Mathematics, Economics and any two (2) of Arts or Social Science subjects.","Economics, Mathematics and any of Government, History, Geography, Literature in English, French and Christian Religious Studies/Islamic Studies."
EDUCATION & COMPUTER SCIENCE,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,Two (2) ‘A’ Level passes including Physics or Chemistry.,"Five (5) SSC credit passes or its equivalents including Mathematics, English Language and three (3) other Science subjects.","Mathematics, Physics and one of Biology, Chemistry and Geography."
EDUCATION & ECONOMICS,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"(i)       Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii)   NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION AND ENGLISH LANGUAGE,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATION AND SOCIAL STUDIES,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,"(i) NCE Social Studies from recognized Colleges.

(ii)           Two (2) 'A' Level passes in relevant subjects.",Five (5) 'O' Level credit passes to include English Language plus two (2) Arts /Social Science subjects.,"Any three (3) of Christian Religious Studies, Economics, Geography/Physics, Government, History and Islamic Studies."
EDUCATIONAL MANAGEMENT,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,Two (2) 'A' Level passes/NCE merit/credit in relevant subjects.,Five (5) SSC credit passes in five (5) subjects including English Language and Mathematics.,"Economics, Mathematics and one (1) other Social Science/Arts subject."
ENERGY STUDIES,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,NCE/Two (2) 'A' Level passes in Physics and Mathematics or Chemistry.,"Five (5) SSC credit passes in English Language, Physics, Chemistry, Mathematics and any other Science subject from Further Mathematics and Biology or Agricultural Science.","Physics, Mathematics and Chemistry or Biology."
ENGLISH LANGUAGE,"SALEM UNIVERSITY, LOKOJA, KOGI STATE",SALEM,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
