Course Name,Institution Name,Abbrv.,Direct Entry Requirements,UTME Requirements,Subjects
ACCOUNTING,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"(i)   Two (2)'A' Level passes including Economics.

(ii)   BSc, BA, or HND in other disciplines

(iii)  OND in Accounting/Finance/Economics

(iv)  Foundation of ICAN

(v)   Others: IJMB, JUPEB, etc","Five (5) SSC credit passes including English Language, Mathematics, Economics/Principles of Account, and ANY other two (2) relevant subjects.",Economics/Accounts and any other two (2) subjects
AGRICULTURE,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"Two (2) ‘A’ Level passes in science subjects including Mathematics. Chemistry and one from Biology/Botany/Zoology/Agricultural Science, Economics, Physics, Geography and Geology/Mathematics (Pure & Applied).","Five (5) SSC credit passes to include English Language, Biology/Agricultural Science, Chemistry and  any one of Mathematics, Physics, Geography and  Economics.","Chemistry, Biology/Agriculture and any two of Physics, Mathematics, Geography, and Economics/Accounting"
ANATOMY,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"Two (2) 'A' Level passes chosen from Biology, Chemistry and Physics in addition to the UTME requirements.","Five (5) SSC credit passes in English Language, Mathematics, Biology, Chemistry and Physics.",Any three (3) science subjects
ARCHITECTURE,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"Five SSC credit passes, two of which must be at the advanced level or candidates who hold
National Diploma in a relevant field may be admitted into the 200 Level to study Architecture. Holders of Higher National Diploma (HND) in a relevant field may also be admitted into 300 - Level if they have Upper Credit or Distinctions.","Four (4) year Programme admission:  In addition to UTME score, the candidate should possess five credit passes in Mathematics, English Language, Physics and two other subjects from the following: Chemistry, Biology, Technical Drawing, Fine Arts, Geography, Economics, Building Construction and Land Surveying at not more than two sittings.","English Language, Mathematics, and Physics and any one of the following subjects: Chemistry, Geography, Fine Arts, or Technical Drawing"
BIOCHEMISTRY,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"Two (2) 'A' Level passes chosen from Chemistry, Mathematics, Physics and Biology.

 

NCE/ND/HND in related programmes plus the UTME requirements.","Five (5) SSC credit passes in English Language, Chemistry, Mathematics, Physics and Biology.","Biology, Chemistry and Physics or Mathematics."
BIOLOGY,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"i) Two (2) 'A' Level passes from Chemistry, Biology, Botany/Zoology.

(ii) NCE merit accepted.","Five (5) SSC credit passes to include English Language, Biology, Chemistry and Mathematics/Physics.","Biology, Chemistry and Physics or Mathematics."
BUSINESS ADMINISTRATION,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"(i)   Two (2)'A' Level passes including Economics.

(ii)   BSc, BA, OND in other disciplines

(iii)  OND in Accounting/Finance/Economics

(iv)  Foundation of ICAN

(v)   Others: IJMB, JUPEB, etc","Five (5) SSC credit passes including English Language, Mathematics, Economics and two (2) other relevant subjects.",Economics/Accounts and ANY other two (2) subjects
BUSINESS EDUCATION,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"(i) Two (2) 'A' Level passes or NCE merit in two (2) relevant subjects.

(ii) NCE merit in Business Education Double Major.","Five (5) TC II merit, 'O' Level or NTC/NBC credit passes including English Language, Mathematics, Economics and two (2) other subjects in the Social Sciences or Arts. For NBC, the other subjects could be from any of the following: Commerce, Office Practice, Principles of Accounts, Secretarial Duties, Typewriting and Shorthand.","Mathematics, Economics plus one (1) of Literature in English, History, Government, Geography, Chemistry and Physics."
CHEMISTRY,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"i)  Two (2) 'A' Level passes in Chemistry and any one (1) of Physics, Mathematics or Biology.

 

(ii)   ND/NCE with good grades in relevant 'O' Level subjects.","Five (5) SSC credit passes in English Language, Mathematics, Physics, Chemistry and Biology.","Chemistry and two (2) of Physics, Biology and Mathematics."
CHRISTIAN RELIGIOUS STUDIES,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,Two (2) ‘A’ Level passes/NCE to include CRS/Religious Studies.,"Five (5) SSC credit passes in English Language, CRS and three (3) other relevant subjects.",Two (2) Arts subjects including CRS and any other subject.
CIVIL ENGINEERING,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"For four-year Direct Entry, in addition to five (5) Senior School Certificate (SSC) credit passes which must include  English  Language,  Mathematics,  Physics, and  Chemistry, candidates with at least two passes in relevant subjects  (Mathematics,  Physics  and Chemistry) at the GCE Advanced Level or IJMB or JUPEB may be considered for admission. Candidates with good National Diploma (ND) results in relevant Engineering Technology programmes may also be considered for admission into 200 level. Holders of upper credit pass and above at Higher National Diploma (HND) level, are eligible for consideration for admission into 300 level.","For the five-year degree propgramme, in addition to acceptable passes in the Unified Tertiary Matriculation Examination (UTME), the minimum admission requirement is credit level passes in Senior School Certificate Examination (SSCE) in at least five subjects, which must include English Language, Mathematics, Physics, Chemistry and other acceptable science subjects at not more than two sittings.","English Language, Mathematics, Physics, Chemistry and other acceptable science subjects at not more than two sittings."
COMPUTER ENGINEERING,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"For four-year Direct Entry, in addition to five (5) Senior School Certificate (SSC) credit passes which must include  English  Language,  Mathematics,  Physics, and  Chemistry, candidates with at least two passes in relevant subjects  (Mathematics,  Physics  and Chemistry) at the GCE Advanced Level or IJMB or JUPEB may be considered for admission. Candidates with good National Diploma (ND) results in relevant Engineering Technology programmes may also be considered for admission into 200 level. Holders of upper credit pass and above at Higher National Diploma (HND) level, are eligible for consideration for admission into 300 level.","For the five-year degree propgramme, in addition to acceptable passes in the Unified Tertiary Matriculation Examination (UTME), the minimum admission requirement is credit level passes in Senior School Certificate Examination (SSCE) in at least five subjects, which must include English Language, Mathematics, Physics, Chemistry and other acceptable science subjects at not more than two sittings.","English Language, Mathematics, Physics, Chemistry and other acceptable science subjects at not more than two sittings."
COMPUTER SCIENCE,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,")       Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSCE credit passes to include English Language, Biology/Agric Science, Chemistry, and ANY one of Mathematics, Physics, Computer Science, Geography, and Economics.","BABCOCK will accept ANY of the following: Mathematics, Physics, Biology, Chemistry, Agric Science, Economics and Geography."
COMPUTER SCIENCE & INFORMATION TECHNOLOGY,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"(i)    Two (2) 'A' Level passes in science subjects including Mathematics

 

(ii)   NCE merit in Mathematics and one (1) other Science or Social Science subject.","Five (5) SSC credit passes to include English Language, Mathematics, Physics plus two (2) other Science subjects.","BABCOCK will accept any three of the following: Mathematics, Physics and one (1) of Biology, Chemistry, Agric Science, Economics, Geography and Technical Drawing."
ECONOMICS,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"(i)   Two (2)'A' Level passes including Economics 

(ii)  BSc, BA or HND in other disciplines

(iii) OND in Accounting/Finance/Economics

(iv) Others: IJMB, JUPEB, etc.","Five (5)SSC credit passes in English Language, Mathematics, Economics/Principles of Accouts, and any two (2) subjects.",Economics/Accounts and ANY other two subjects.
EDUCATION & ECONOMICS,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"(i) Two (2) 'A' Level passes in Economics and one (1) other relevant subject.

(ii) NCE merit/credit in Economics and one (1) other subject.","Five (5) 'O' Level credit passes to include English Language, Economics and Mathematics.","Economics, Mathematics and one (1) other subject from Geography/Physics, History, Government and Literature in English."
EDUCATION & ENGLISH LANGUAGE,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"(i)  Two (2) 'A' Level passes in relevant teaching subjects including Literature in English.

(ii)  NCE credit or merit in two(2)relevant subjects.",Five (5) 'O' Level credit passes to include English Language and Literature in English plus three (3) other Arts or Social Science subjects.,Literature in English and one (1) Art and any other subject.
EDUCATIONAL ADMINISTRATION & PLANNING,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"(i) Two (2)'A' Level passes from Literature in English, History, Christian Religious Studies/Islamic Studies, Hausa, Yoruba and Igbo with 'O' Level pass in Mathematics.

(ii)  NCE merit in the subjects listed above.","(i) Five (5)'O' Level credit passes to include English Language, Mathematics and Economics.

(ii)  Five (5) TC II merit including English Language and Mathematics.","Any three (3) of Literature In English, History, French, Geography/Physics, Economics and Mathematics."
ELECTRICAL AND ELECTRONICS ENGINEERING,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,"For four-year Direct Entry, in addition to five (5) Senior School Certificate (SSC) credit passes which must include  English  Language,  Mathematics,  Physics, and  Chemistry, candidates with at least two passes in relevant subjects  (Mathematics,  Physics, and Chemistry) at the GCE Advanced Level or IJMB or JUPEB may be considered for admission. Candidates with good National Diploma (ND) results in relevant Engineering Technology programmes may also be considered for admission into 200 levels. Holders of upper credit pass and above at Higher National Diploma (HND) level, are eligible for consideration for admission into 300 level.","For the five-year degree propgramme, in addition to acceptable passes in the Unified Tertiary Matriculation Examination (UTME), the minimum admission requirement is credit level passes in Senior School Certificate Examination (SSCE) in at least five subjects, which must include English Language, Mathematics, Physics, Chemistry and other acceptable science subjects at not more than two sittings.","English Language, Mathematics, Physics, Chemistry and other acceptable science subjects at not more than two sittings."
ENGLISH & LITERARY STUDIES,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,Five (5) SSC credit passes to include Literature in English and English Language.,"Literature in English, one other Arts subject and another Arts or Social Science subject."
ENGLISH LANGUAGE,"BABCOCK UNIVERSITY, ILISHAN-REMO, OGUN STATE",BABCOCK,Two (2) ‘A’ Level passes to include Literature in English and one other Arts subject.,"Five (5) SSC credit passes to include Literature in English, English Language and three other Arts or Social Science subjects.","Literature in English, one other Arts subject and another Arts or Social Science subject."
